time,latitude,longitude,altitude,travelstate
1364824853,43.7083588,-72.2842783,0,moving
1364826053,43.7088181,-72.2839769,0,moving
1364827253,43.7087007,-72.2840307,0,moving
1364828453,43.7087186,-72.283729,0,stationary
1364829537,43.7066063,-72.2870511,0,moving
1364830853,43.7050705,-72.2886741,0,moving
1364832053,43.7049909,-72.2881438,0,moving
1364833253,43.7041927,-72.2886835,0,moving
1364834453,43.7051118,-72.2882794,0,moving
1364835653,43.7049955,-72.2884907,0,moving
1364836853,43.7049377,-72.2882525,0,stationary
1364838057,43.70534371,-72.28812527,119.6999969,
1364839253,43.7090082,-72.283959,0,moving
1364840453,43.7090532,-72.2839698,0,stationary
1364841653,43.7090153,-72.2838337,0,stationary
1364842856,43.7082746,-72.2845923,0,moving
1364844053,43.706728,-72.2873148,0,moving
1364845253,43.7067104,-72.2872888,0,moving
1364846453,43.7067176,-72.2873319,0,stationary
1364847653,43.7065709,-72.2870041,0,moving
1364848853,43.7066123,-72.287101,0,stationary
1364850053,43.70671,-72.287295,0,moving
1364851253,43.7066939,-72.2872799,0,stationary
1364852453,43.7067381,-72.2872882,0,stationary
1364853656,43.706979,-72.2877566,0,moving
1364854853,43.7070094,-72.2877267,0,moving
1364856053,43.7070299,-72.2876507,0,stationary
1364857253,43.7069953,-72.2877197,0,stationary
1364858453,43.7067289,-72.2872829,0,moving
1364859655,43.7028781,-72.2839583,0,moving
1364862053,43.7591364,-72.3292371,0,moving
1364863253,43.7591329,-72.3292419,0,stationary
1364864453,43.7591329,-72.3292419,0,stationary
1364865653,43.7591329,-72.3292419,0,stationary
1364866853,43.7591329,-72.3292419,0,stationary
1364868053,43.7591329,-72.3292419,0,stationary
1364869253,43.7591329,-72.3292419,0,stationary
1364870453,43.7591329,-72.3292419,0,stationary
1364871653,43.7591329,-72.3292419,0,stationary
1364872853,43.7591329,-72.3292419,0,stationary
1364874053,43.7591329,-72.3292419,0,stationary
1364875253,43.7591329,-72.3292419,0,stationary
1364876453,43.7591329,-72.3292419,0,stationary
1364877653,43.7591329,-72.3292419,0,stationary
1364878853,43.7591329,-72.3292419,0,stationary
1364880053,43.7591378,-72.3292412,0,stationary
1364881253,43.7591378,-72.3292412,0,stationary
1364882453,43.7591378,-72.3292412,0,stationary
1364883653,43.7591378,-72.3292412,0,stationary
1364884853,43.7591378,-72.3292412,0,stationary
1364886053,43.7591378,-72.3292412,0,stationary
1364887253,43.7591378,-72.3292412,0,stationary
1364888453,43.7591378,-72.3292412,0,stationary
1364889653,43.7591378,-72.3292412,0,stationary
1364890853,43.7591378,-72.3292412,0,stationary
1364892053,43.7591378,-72.3292412,0,stationary
1364893253,43.7591378,-72.3292412,0,stationary
1364894453,43.7591378,-72.3292412,0,stationary
1364895653,43.7591378,-72.3292412,0,stationary
1364896853,43.7591378,-72.3292412,0,stationary
1364898053,43.6081233,-72.1621425,0,moving
1364899253,43.7019414,-72.2950994,0,stationary
1364900453,43.7019414,-72.2950994,0,moving
